FFIEC CENSUS AND FFIEC ESTIMATED MSA/MD MEDIAN FAMILY INCOME FOR 2018 CRA/HMDA REPORTS;;;;;;
MSA/MD FIPS CODE NO. ;MSA/MD NAME;2015 MSA/MD MED* FAMILY INCOME;2018 FFIEC EST. MSA/MD MEDIAN FAMILY INCOME**;;;
10180;ABILENE, TX                                                                                                                     ;56448;63900;;;
10380;AGUADILLA-ISABELA, PR                                                                                                           ;18267;18900;;;
10420;AKRON, OH                                                                                                                       ;65716;73200;;;
10500;ALBANY, GA                                                                                                                      ;44715;53400;;;
10540;ALBANY, OR                                                                                                                      ;54713;59700;;;
10580;ALBANY-SCHENECTADY-TROY, NY                                                                                                     ;81103;86400;;;
10740;ALBUQUERQUE, NM                                                                                                                 ;60032;65000;;;
10780;ALEXANDRIA, LA                                                                                                                  ;50720;55400;;;
10900;ALLENTOWN-BETHLEHEM-EASTON, PA-NJ                                                                                               ;71539;76100;;;
11020;ALTOONA, PA                                                                                                                     ;57819;65100;;;
11100;AMARILLO, TX                                                                                                                    ;61673;66800;;;
11180;AMES, IA                                                                                                                        ;77539;79800;;;
11244;ANAHEIM-SANTA ANA-IRVINE, CA                                                                                                    ;86003;92700;;;
11260;ANCHORAGE, AK                                                                                                                   ;89267;97600;;;
11460;ANN ARBOR, MI                                                                                                                   ;87331;92900;;;
11500;ANNISTON-OXFORD-JACKSONVILLE, AL                                                                                                ;52300;56800;;;
11540;APPLETON, WI                                                                                                                    ;73709;77900;;;
11640;ARECIBO, PR                                                                                                                     ;20181;20100;;;
11700;ASHEVILLE, NC                                                                                                                   ;57243;62500;;;
12020;ATHENS-CLARKE COUNTY, GA                                                                                                        ;57116;58900;;;
12060;ATLANTA-SANDY SPRINGS-ROSWELL, GA                                                                                               ;67322;74400;;;
12100;ATLANTIC CITY-HAMMONTON, NJ                                                                                                     ;66523;71600;;;
12220;AUBURN-OPELIKA, AL                                                                                                              ;61141;66900;;;
12260;AUGUSTA-RICHMOND COUNTY, GA-SC                                                                                                  ;58059;62300;;;
12420;AUSTIN-ROUND ROCK, TX                                                                                                           ;78997;86000;;;
12540;BAKERSFIELD, CA                                                                                                                 ;52649;58700;;;
12580;BALTIMORE-COLUMBIA-TOWSON, MD                                                                                                   ;87788;94900;;;
12620;BANGOR, ME                                                                                                                      ;56891;62600;;;
12700;BARNSTABLE TOWN, MA                                                                                                             ;80751;86200;;;
12940;BATON ROUGE, LA                                                                                                                 ;66344;74500;;;
12980;BATTLE CREEK, MI                                                                                                                ;53315;54900;;;
13020;BAY CITY, MI                                                                                                                    ;57819;60400;;;
13140;BEAUMONT-PORT ARTHUR, TX                                                                                                        ;56953;64100;;;
13220;BECKLEY, WV                                                                                                                     ;47856;48700;;;
13380;BELLINGHAM, WA                                                                                                                  ;68376;77500;;;
13460;BEND-REDMOND, OR                                                                                                                ;62013;69600;;;
13740;BILLINGS, MT                                                                                                                    ;66980;71000;;;
13780;BINGHAMTON, NY                                                                                                                  ;63860;66900;;;
13820;BIRMINGHAM-HOOVER, AL                                                                                                           ;62204;69400;;;
13900;BISMARCK, ND                                                                                                                    ;82181;95600;;;
13980;BLACKSBURG-CHRISTIANSBURG-RADFORD, VA                                                                                           ;60503;68800;;;
14010;BLOOMINGTON, IL                                                                                                                 ;81357;89000;;;
14020;BLOOMINGTON, IN                                                                                                                 ;61426;73900;;;
14100;BLOOMSBURG-BERWICK, PA                                                                                                          ;59531;65400;;;
14260;BOISE CITY, ID                                                                                                                  ;61722;69600;;;
14454;BOSTON, MA                                                                                                                      ;90699;99300;;;
14500;BOULDER, CO                                                                                                                     ;96926;108600;;;
14540;BOWLING GREEN, KY                                                                                                               ;55109;56800;;;
14740;BREMERTON-SILVERDALE, WA                                                                                                        ;75652;82600;;;
14860;BRIDGEPORT-STAMFORD-NORWALK, CT                                                                                                 ;105628;111200;;;
15180;BROWNSVILLE-HARLINGEN, TX                                                                                                       ;36941;38900;;;
15260;BRUNSWICK, GA                                                                                                                   ;52987;53000;;;
15380;BUFFALO-CHEEKTOWAGA-NIAGARA FALLS, NY                                                                                           ;67108;74700;;;
15500;BURLINGTON, NC                                                                                                                  ;53234;55100;;;
15540;BURLINGTON-SOUTH BURLINGTON, VT                                                                                                 ;82811;93000;;;
15680;CALIFORNIA-LEXINGTON PARK, MD                                                                                                   ;98260;103400;;;
15764;CAMBRIDGE-NEWTON-FRAMINGHAM, MA                                                                                                 ;100380;110300;;;
15804;CAMDEN, NJ                                                                                                                      ;87133;92400;;;
15940;CANTON-MASSILLON, OH                                                                                                            ;59302;64900;;;
15980;CAPE CORAL-FORT MYERS, FL                                                                                                       ;57627;63700;;;
16020;CAPE GIRARDEAU, MO-IL                                                                                                           ;56012;64600;;;
16060;CARBONDALE-MARION, IL                                                                                                           ;56287;61600;;;
16180;CARSON CITY, NV                                                                                                                 ;58947;62000;;;
16220;CASPER, WY                                                                                                                      ;71406;74400;;;
16300;CEDAR RAPIDS, IA                                                                                                                ;75812;80800;;;
16540;CHAMBERSBURG-WAYNESBORO, PA                                                                                                     ;64527;71300;;;
16580;CHAMPAIGN-URBANA, IL                                                                                                            ;70462;79800;;;
16620;CHARLESTON, WV                                                                                                                  ;55786;56500;;;
16700;CHARLESTON-NORTH CHARLESTON, SC                                                                                                 ;65558;74500;;;
16740;CHARLOTTE-CONCORD-GASTONIA, NC-SC                                                                                               ;64993;71300;;;
16820;CHARLOTTESVILLE, VA                                                                                                             ;76610;86200;;;
16860;CHATTANOOGA, TN-GA                                                                                                              ;58694;61700;;;
16940;CHEYENNE, WY                                                                                                                    ;75732;79900;;;
16974;CHICAGO-NAPERVILLE-ARLINGTON HEIGHTS, IL                                                                                        ;75350;82400;;;
17020;CHICO, CA                                                                                                                       ;56914;60500;;;
17140;CINCINNATI, OH-KY-IN                                                                                                            ;70589;77000;;;
17300;CLARKSVILLE, TN-KY                                                                                                              ;53918;55400;;;
17420;CLEVELAND, TN                                                                                                                   ;52007;59100;;;
17460;CLEVELAND-ELYRIA, OH                                                                                                            ;65821;70700;;;
17660;COEUR D'ALENE, ID                                                                                                               ;58966;62900;;;
17780;COLLEGE STATION-BRYAN, TX                                                                                                       ;60756;73900;;;
17820;COLORADO SPRINGS, CO                                                                                                            ;71351;77900;;;
17860;COLUMBIA, MO                                                                                                                    ;72667;76400;;;
17900;COLUMBIA, SC                                                                                                                    ;62665;68800;;;
17980;COLUMBUS, GA-AL                                                                                                                 ;53554;56000;;;
18020;COLUMBUS, IN                                                                                                                    ;66425;71100;;;
18140;COLUMBUS, OH                                                                                                                    ;70454;76000;;;
18580;CORPUS CHRISTI, TX                                                                                                              ;57801;63600;;;
18700;CORVALLIS, OR                                                                                                                   ;76967;84100;;;
18880;CRESTVIEW-FORT WALTON BEACH-DESTIN, FL                                                                                          ;63539;64400;;;
19060;CUMBERLAND, MD-WV                                                                                                               ;53566;55500;;;
19124;DALLAS-PLANO-IRVING, TX                                                                                                         ;71149;77200;;;
19140;DALTON, GA                                                                                                                      ;47062;56600;;;
19180;DANVILLE, IL                                                                                                                    ;53880;58300;;;
19300;DAPHNE-FAIRHOPE-FOLEY, AL                                                                                                       ;62271;69400;;;
19340;DAVENPORT-MOLINE-ROCK ISLAND, IA-IL                                                                                             ;66600;72300;;;
19380;DAYTON, OH                                                                                                                      ;61957;65700;;;
19460;DECATUR, AL                                                                                                                     ;54654;58700;;;
19500;DECATUR, IL                                                                                                                     ;60745;66700;;;
19660;DELTONA-DAYTONA BEACH-ORMOND BEACH, FL                                                                                          ;52220;55700;;;
19740;DENVER-AURORA-LAKEWOOD, CO                                                                                                      ;80820;89900;;;
19780;DES MOINES-WEST DES MOINES, IA                                                                                                  ;76385;79600;;;
19804;DETROIT-DEARBORN-LIVONIA, MI                                                                                                    ;52733;55500;;;
20020;DOTHAN, AL                                                                                                                      ;51581;53800;;;
20100;DOVER, DE                                                                                                                       ;64252;70400;;;
20220;DUBUQUE, IA                                                                                                                     ;68157;75100;;;
20260;DULUTH, MN-WI                                                                                                                   ;64345;71400;;;
20500;DURHAM-CHAPEL HILL, NC                                                                                                          ;69840;78700;;;
20524;DUTCHESS COUNTY-PUTNAM COUNTY, NY                                                                                               ;94443;97400;;;
20700;EAST STROUDSBURG, PA                                                                                                            ;66783;74100;;;
20740;EAU CLAIRE, WI                                                                                                                  ;66688;72000;;;
20940;EL CENTRO, CA                                                                                                                   ;45815;48200;;;
20994;ELGIN, IL                                                                                                                       ;79687;86100;;;
21060;ELIZABETHTOWN-FORT KNOX, KY                                                                                                     ;59273;61300;;;
21140;ELKHART-GOSHEN, IN                                                                                                              ;55551;61100;;;
21300;ELMIRA, NY                                                                                                                      ;65135;71000;;;
21340;EL PASO, TX                                                                                                                     ;46033;51700;;;
21420;ENID, OK                                                                                                                        ;57419;60500;;;
21500;ERIE, PA                                                                                                                        ;58746;63700;;;
21660;EUGENE, OR                                                                                                                      ;57766;64100;;;
21780;EVANSVILLE, IN-KY                                                                                                               ;61595;65100;;;
21820;FAIRBANKS, AK                                                                                                                   ;82310;93000;;;
22020;FARGO, ND-MN                                                                                                                    ;75010;82000;;;
22140;FARMINGTON, NM                                                                                                                  ;58777;60100;;;
22180;FAYETTEVILLE, NC                                                                                                                ;51775;52800;;;
22220;FAYETTEVILLE-SPRINGDALE-ROGERS, AR-MO                                                                                           ;60032;64500;;;
22380;FLAGSTAFF, AZ                                                                                                                   ;61083;75100;;;
22420;FLINT, MI                                                                                                                       ;53333;57900;;;
22500;FLORENCE, SC                                                                                                                    ;50944;53800;;;
22520;FLORENCE-MUSCLE SHOALS, AL                                                                                                      ;54339;57500;;;
22540;FOND DU LAC, WI                                                                                                                 ;67472;75600;;;
22660;FORT COLLINS, CO                                                                                                                ;76886;85100;;;
22744;FORT LAUDERDALE-POMPANO BEACH-DEERFIELD BEACH, FL                                                                               ;61809;65700;;;
22900;FORT SMITH, AR-OK                                                                                                               ;48075;52400;;;
23060;FORT WAYNE, IN                                                                                                                  ;60884;65600;;;
23104;FORT WORTH-ARLINGTON, TX                                                                                                        ;69817;75000;;;
23420;FRESNO, CA                                                                                                                      ;49999;55500;;;
23460;GADSDEN, AL                                                                                                                     ;51104;54100;;;
23540;GAINESVILLE, FL                                                                                                                 ;63628;71300;;;
23580;GAINESVILLE, GA                                                                                                                 ;58558;64200;;;
23844;GARY, IN                                                                                                                        ;64075;69400;;;
23900;GETTYSBURG, PA                                                                                                                  ;70344;74900;;;
24020;GLENS FALLS, NY                                                                                                                 ;64495;72500;;;
24140;GOLDSBORO, NC                                                                                                                   ;50552;57100;;;
24220;GRAND FORKS, ND-MN                                                                                                              ;70827;78100;;;
24260;GRAND ISLAND, NE                                                                                                                ;58820;68000;;;
24300;GRAND JUNCTION, CO                                                                                                              ;60676;63900;;;
24340;GRAND RAPIDS-WYOMING, MI                                                                                                        ;65342;70300;;;
24420;GRANTS PASS, OR                                                                                                                 ;46452;53600;;;
24500;GREAT FALLS, MT                                                                                                                 ;58102;62800;;;
24540;GREELEY, CO                                                                                                                     ;70457;82400;;;
24580;GREEN BAY, WI                                                                                                                   ;67666;75600;;;
24660;GREENSBORO-HIGH POINT, NC                                                                                                       ;55218;59800;;;
24780;GREENVILLE, NC                                                                                                                  ;56239;61400;;;
24860;GREENVILLE-ANDERSON-MAULDIN, SC                                                                                                 ;58097;64200;;;
25020;GUAYAMA, PR                                                                                                                     ;17448;20200;;;
25060;GULFPORT-BILOXI-PASCAGOULA, MS                                                                                                  ;52846;55100;;;
25180;HAGERSTOWN-MARTINSBURG, MD-WV                                                                                                   ;65716;70200;;;
25220;HAMMOND, LA                                                                                                                     ;52864;63300;;;
25260;HANFORD-CORCORAN, CA                                                                                                            ;49735;55400;;;
25420;HARRISBURG-CARLISLE, PA                                                                                                         ;71723;75200;;;
25500;HARRISONBURG, VA                                                                                                                ;60539;62500;;;
25540;HARTFORD-WEST HARTFORD-EAST HARTFORD, CT                                                                                        ;88016;96700;;;
25620;HATTIESBURG, MS                                                                                                                 ;53263;58200;;;
25860;HICKORY-LENOIR-MORGANTON, NC                                                                                                    ;51281;55000;;;
25940;HILTON HEAD ISLAND-BLUFFTON-BEAUFORT, SC                                                                                        ;63345;70600;;;
25980;HINESVILLE, GA                                                                                                                  ;47693;42400;;;
26140;HOMOSASSA SPRINGS, FL                                                                                                           ;47829;52400;;;
26300;HOT SPRINGS, AR                                                                                                                 ;49707;52700;;;
26380;HOUMA-THIBODAUX, LA                                                                                                             ;58164;61600;;;
26420;HOUSTON-THE WOODLANDS-SUGAR LAND, TX                                                                                            ;69373;75600;;;
26580;HUNTINGTON-ASHLAND, WV-KY-OH                                                                                                    ;55040;56900;;;
26620;HUNTSVILLE, AL                                                                                                                  ;72576;78700;;;
26820;IDAHO FALLS, ID                                                                                                                 ;57604;62100;;;
26900;INDIANAPOLIS-CARMEL-ANDERSON, IN                                                                                                ;66803;75100;;;
26980;IOWA CITY, IA                                                                                                                   ;81027;85400;;;
27060;ITHACA, NY                                                                                                                      ;74524;89000;;;
27100;JACKSON, MI                                                                                                                     ;58432;62400;;;
27140;JACKSON, MS                                                                                                                     ;56700;60700;;;
27180;JACKSON, TN                                                                                                                     ;53433;57700;;;
27260;JACKSONVILLE, FL                                                                                                                ;64042;69900;;;
27340;JACKSONVILLE, NC                                                                                                                ;51012;53000;;;
27500;JANESVILLE-BELOIT, WI                                                                                                           ;60820;66900;;;
27620;JEFFERSON CITY, MO                                                                                                              ;62292;74500;;;
27740;JOHNSON CITY, TN                                                                                                                ;50296;54100;;;
27780;JOHNSTOWN, PA                                                                                                                   ;55933;64200;;;
27860;JONESBORO, AR                                                                                                                   ;49928;53100;;;
27900;JOPLIN, MO                                                                                                                      ;51752;56700;;;
27980;KAHULUI-WAILUKU-LAHAINA, HI                                                                                                     ;76193;81400;;;
28020;KALAMAZOO-PORTAGE, MI                                                                                                           ;61149;70300;;;
28100;KANKAKEE, IL                                                                                                                    ;63716;67900;;;
28140;KANSAS CITY, MO-KS                                                                                                              ;72623;79900;;;
28420;KENNEWICK-RICHLAND, WA                                                                                                          ;66500;72800;;;
28660;KILLEEN-TEMPLE, TX                                                                                                              ;58001;59900;;;
28700;KINGSPORT-BRISTOL-BRISTOL, TN-VA                                                                                                ;51210;54800;;;
28740;KINGSTON, NY                                                                                                                    ;74546;79200;;;
28940;KNOXVILLE, TN                                                                                                                   ;59210;64100;;;
29020;KOKOMO, IN                                                                                                                      ;59111;64100;;;
29100;LA CROSSE-ONALASKA, WI-MN                                                                                                       ;68531;72400;;;
29180;LAFAYETTE, LA                                                                                                                   ;59988;64800;;;
29200;LAFAYETTE-WEST LAFAYETTE, IN                                                                                                    ;62506;69800;;;
29340;LAKE CHARLES, LA                                                                                                                ;57618;60000;;;
29404;LAKE COUNTY-KENOSHA COUNTY, IL-WI                                                                                               ;87137;96500;;;
29420;LAKE HAVASU CITY-KINGMAN, AZ                                                                                                    ;46268;49600;;;
29460;LAKELAND-WINTER HAVEN, FL                                                                                                       ;50986;53600;;;
29540;LANCASTER, PA                                                                                                                   ;68937;73800;;;
29620;LANSING-EAST LANSING, MI                                                                                                        ;66143;73900;;;
29700;LAREDO, TX                                                                                                                      ;41922;44200;;;
29740;LAS CRUCES, NM                                                                                                                  ;45044;44700;;;
29820;LAS VEGAS-HENDERSON-PARADISE, NV                                                                                                ;59993;64800;;;
29940;LAWRENCE, KS                                                                                                                    ;72755;87400;;;
30020;LAWTON, OK                                                                                                                      ;57051;61200;;;
30140;LEBANON, PA                                                                                                                     ;65676;70100;;;
30300;LEWISTON, ID-WA                                                                                                                 ;58484;69200;;;
30340;LEWISTON-AUBURN, ME                                                                                                             ;60363;63900;;;
30460;LEXINGTON-FAYETTE, KY                                                                                                           ;66800;70100;;;
30620;LIMA, OH                                                                                                                        ;56195;62700;;;
30700;LINCOLN, NE                                                                                                                     ;70200;78600;;;
30780;LITTLE ROCK-NORTH LITTLE ROCK-CONWAY, AR                                                                                        ;61339;65900;;;
30860;LOGAN, UT-ID                                                                                                                    ;59129;64600;;;
